Date,TX01,PP01,TX02,TX04,stno
2008-01-01,10.929166666666667,0.0,12.8,9.5,C0C590
2008-01-02,11.25,0.0,13.8,9.2,C0C590
2008-01-03,14.01875,0.0,18.1,11.2,C0C590
2008-01-04,15.800000000000004,0.0,19.2,13.4,C0C590
2008-01-05,16.275,0.0,18.0,14.8,C0C590
2008-01-06,17.1125,0.0,18.9,14.9,C0C590
2008-01-07,17.991666666666667,0.0,20.7,16.4,C0C590
2008-01-08,18.979166666666664,0.0,23.2,17.2,C0C590
2008-01-09,20.054166666666667,0.0,24.6,17.2,C0C590
2008-01-10,18.641666666666666,0.0,20.7,17.7,C0C590
2008-01-11,21.358333333333327,0.0,26.5,18.0,C0C590
2008-01-12,18.95,0.0,23.7,15.7,C0C590
2008-01-13,14.608333333333333,5.0,15.5,13.5,C0C590
2008-01-14,13.220833333333333,9.5,13.8,12.5,C0C590
2008-01-15,14.127272727272727,0.5,15.8,13.2,C0C590
2008-01-16,12.520833333333336,1.5,13.2,11.7,C0C590
2008-01-17,13.704166666666666,0.0,16.0,12.4,C0C590
2008-01-18,14.795833333333327,0.0,16.6,13.7,C0C590
2008-01-19,17.720833333333328,0.0,21.3,14.9,C0C590
2008-01-20,17.933333333333334,0.0,22.5,16.3,C0C590
2008-01-21,15.170833333333327,2.0,16.5,14.4,C0C590
2008-01-22,15.925,0.0,18.4,14.7,C0C590
2008-01-23,13.783333333333333,0.0,14.6,12.8,C0C590
2008-01-24,12.0375,0.0,12.8,11.3,C0C590
2008-01-25,14.758333333333333,0.5,16.6,12.5,C0C590
2008-01-26,15.14583333333333,23.5,16.7,12.8,C0C590
2008-01-27,13.391666666666666,1.5,14.2,12.5,C0C590
2008-01-28,14.83333333333333,6.5,15.2,14.4,C0C590
2008-01-29,14.037499999999996,3.5,21.1,11.8,C0C590
2008-01-30,12.475,6.5,13.8,10.7,C0C590
2008-01-31,11.133333333333333,51.5,12.1,10.1,C0C590
2008-02-01,14.358333333333333,12.0,16.0,12.1,C0C590
2008-02-02,12.354166666666664,30.5,15.3,10.9,C0C590
2008-02-03,10.166666666666666,12.5,11.1,8.9,C0C590
2008-02-04,13.466666666666667,2.0,15.0,11.5,C0C590
2008-02-05,14.062499999999998,33.5,15.9,12.0,C0C590
2008-02-06,10.7375,11.5,12.6,10.0,C0C590
2008-02-07,11.441666666666668,11.0,12.4,10.7,C0C590
2008-02-08,11.845833333333333,19.0,13.7,11.0,C0C590
2008-02-09,8.804166666666667,4.0,10.8,7.9,C0C590
2008-02-10,11.241666666666665,1.5,12.2,9.4,C0C590
2008-02-11,11.683333333333332,12.0,13.8,9.2,C0C590
2008-02-12,8.795833333333334,4.0,9.4,7.8,C0C590
2008-02-13,8.804166666666664,0.0,9.6,7.4,C0C590
2008-02-14,10.541666666666666,2.0,11.5,9.6,C0C590
2008-02-15,11.1625,0.0,12.2,10.2,C0C590
2008-02-16,14.929166666666665,0.0,18.0,12.2,C0C590
2008-02-17,16.204166666666662,1.0,19.1,14.4,C0C590
2008-02-18,15.358333333333333,0.5,21.1,12.8,C0C590
2008-02-19,13.84166666666666,4.0,15.7,12.9,C0C590
2008-02-20,14.85,0.0,16.3,13.6,C0C590
2008-02-21,16.725000000000005,0.0,19.5,14.5,C0C590
2008-02-22,15.720833333333333,0.0,18.2,14.5,C0C590
2008-02-23,16.166666666666668,9.0,19.6,13.5,C0C590
2008-02-24,14.725000000000005,0.5,15.9,13.7,C0C590
2008-02-25,15.43333333333333,8.0,19.4,12.7,C0C590
2008-02-26,11.920833333333333,6.5,13.7,9.6,C0C590
2008-02-27,10.2,0.0,11.6,9.3,C0C590
2008-02-28,12.09565217391304,0.0,14.9,9.5,C0C590
2008-02-29,12.399999999999995,0.5,13.5,10.7,C0C590
2008-03-01,15.9,0.5,20.7,12.2,C0C590
2008-03-02,15.695652173913045,0.0,17.7,13.1,C0C590
2008-03-03,15.658333333333335,0.0,18.6,12.2,C0C590
2008-03-04,14.84166666666667,0.0,17.8,12.3,C0C590
2008-03-05,15.308333333333332,0.0,19.6,11.9,C0C590
2008-03-06,17.1,0.0,21.8,9.8,C0C590
2008-03-07,16.7625,0.0,22.9,12.1,C0C590
2008-03-08,14.27391304347826,0.0,16.2,12.7,C0C590
2008-03-09,15.405,0.0,17.3,13.1,C0C590
2008-03-10,16.89166666666667,1.0,17.9,16.2,C0C590
2008-03-11,17.808333333333334,0.0,20.4,15.8,C0C590
2008-03-12,19.679166666666667,0.0,24.1,16.5,C0C590
2008-03-13,19.166666666666668,0.0,21.5,17.5,C0C590
2008-03-14,15.58333333333333,10.5,18.4,14.2,C0C590
2008-03-15,16.841666666666665,0.0,18.9,15.1,C0C590
2008-03-16,18.133333333333333,0.0,20.7,15.2,C0C590
2008-03-17,17.8625,0.0,19.9,16.4,C0C590
2008-03-18,18.729166666666664,12.0,20.7,16.8,C0C590
2008-03-19,17.3625,0.5,19.4,14.8,C0C590
2008-03-20,18.387500000000006,0.0,21.6,15.1,C0C590
2008-03-21,20.1625,0.0,23.9,17.6,C0C590
2008-03-22,20.783333333333328,6.0,24.5,17.6,C0C590
2008-03-23,17.00416666666667,18.0,18.8,14.9,C0C590
2008-03-24,18.279166666666665,0.0,22.1,15.0,C0C590
2008-03-25,18.566666666666666,0.0,23.2,13.6,C0C590
2008-03-26,19.2125,0.0,22.5,16.4,C0C590
2008-03-27,18.38181818181818,0.0,23.6,13.6,C0C590
2008-03-28,19.77083333333334,0.0,24.1,14.8,C0C590
2008-03-29,20.933333333333334,2.0,23.4,19.1,C0C590
2008-03-30,18.681818181818183,10.0,23.6,16.0,C0C590
2008-03-31,14.052380952380956,37.0,15.8,12.7,C0C590
2008-04-01,15.234782608695653,29.0,16.6,13.3,C0C590
2008-04-02,17.320833333333333,23.5,18.9,15.4,C0C590
2008-04-03,15.308695652173913,13.0,17.3,14.0,C0C590
2008-04-04,19.266666666666676,0.5,23.2,17.1,C0C590
2008-04-05,21.94782608695653,0.0,26.7,18.1,C0C590
2008-04-06,23.91666666666667,0.0,27.6,20.6,C0C590
2008-04-07,24.59583333333333,0.0,29.4,21.5,C0C590
2008-04-08,24.61304347826087,0.0,27.8,21.7,C0C590
