Date,TX01,PP01,TX02,TX04,stno
2008-01-01,10.076785714285714,0.0,12.685714285714287,8.514285714285714,C1C510
2008-01-02,10.36437074829932,0.0,13.414285714285713,8.128571428571428,C1C510
2008-01-03,14.375459956709959,0.0,18.414285714285715,10.757142857142858,C1C510
2008-01-04,15.273503670242803,0.0,19.385714285714283,12.642857142857142,C1C510
2008-01-05,15.570616883116884,0.0,17.9,13.857142857142858,C1C510
2008-01-06,17.10178571428571,0.0,20.25714285714286,14.342857142857143,C1C510
2008-01-07,18.379761904761903,0.0,23.142857142857142,15.357142857142856,C1C510
2008-01-08,19.55892857142857,0.0,23.914285714285715,17.085714285714285,C1C510
2008-01-09,19.875595238095237,0.0,24.41428571428571,17.142857142857142,C1C510
2008-01-10,19.303571428571427,0.0,24.114285714285717,17.37142857142857,C1C510
2008-01-11,21.2125,0.0,27.342857142857145,16.5,C1C510
2008-01-12,19.34047619047619,0.0,24.457142857142856,15.571428571428571,C1C510
2008-01-13,14.410714285714288,5.5,15.571428571428571,13.285714285714286,C1C510
2008-01-14,12.79345238095238,4.0,13.742857142857142,11.985714285714286,C1C510
2008-01-15,13.80270562770563,0.0,16.0,12.214285714285714,C1C510
2008-01-16,12.264285714285716,1.0,13.328571428571427,11.257142857142856,C1C510
2008-01-17,13.303571428571429,0.0,16.4,11.528571428571428,C1C510
2008-01-18,14.707142857142856,0.0,17.642857142857142,12.914285714285715,C1C510
2008-01-19,17.923809523809524,0.0,22.82857142857143,14.585714285714287,C1C510
2008-01-20,18.226190476190474,0.0,24.314285714285713,15.771428571428572,C1C510
2008-01-21,15.535714285714286,0.5,17.15714285714286,14.571428571428571,C1C510
2008-01-22,16.130952380952383,0.0,18.485714285714288,14.657142857142857,C1C510
2008-01-23,14.295238095238094,0.0,15.87142857142857,12.799999999999999,C1C510
2008-01-24,11.892261904761906,0.5,12.87142857142857,11.157142857142858,C1C510
2008-01-25,14.226190476190478,1.0,16.4,11.828571428571431,C1C510
2008-01-26,15.067857142857141,21.0,17.128571428571426,12.799999999999999,C1C510
2008-01-27,13.08095238095238,0.5,14.171428571428573,12.242857142857142,C1C510
2008-01-28,14.342261904761903,8.5,15.028571428571428,13.514285714285714,C1C510
2008-01-29,13.772619047619047,7.0,20.785714285714285,11.642857142857142,C1C510
2008-01-30,12.421428571428573,3.5,14.485714285714286,10.328571428571427,C1C510
2008-01-31,10.770833333333332,36.5,11.814285714285715,9.928571428571429,C1C510
2008-02-01,13.907738095238093,10.5,16.185714285714287,11.414285714285715,C1C510
2008-02-02,12.199404761904763,29.5,15.214285714285714,10.700000000000001,C1C510
2008-02-03,9.345833333333333,14.5,10.62857142857143,8.185714285714285,C1C510
2008-02-04,12.745833333333334,0.5,14.442857142857145,10.700000000000001,C1C510
2008-02-05,13.675313283208018,41.0,15.942857142857145,10.785714285714286,C1C510
2008-02-06,10.230555555555556,7.5,12.25,9.466666666666667,C1C510
2008-02-07,10.66527777777778,4.0,11.700000000000001,9.733333333333334,C1C510
2008-02-08,11.299305555555554,15.5,13.133333333333333,10.266666666666667,C1C510
2008-02-09,8.022222222222222,6.5,10.233333333333333,6.833333333333333,C1C510
2008-02-10,10.372916666666667,0.5,11.883333333333335,8.183333333333335,C1C510
2008-02-11,11.042361111111111,12.5,13.016666666666666,8.666666666666666,C1C510
2008-02-12,7.666666666666666,4.5,8.528571428571428,6.371428571428573,C1C510
2008-02-13,7.419047619047619,0.0,8.571428571428571,6.142857142857143,C1C510
2008-02-14,9.685714285714287,0.5,10.5,8.67142857142857,C1C510
2008-02-15,9.895833333333334,0.0,11.4,8.371428571428572,C1C510
2008-02-16,14.201190476190476,0.0,17.67142857142857,11.442857142857141,C1C510
2008-02-17,16.28988095238095,0.0,20.385714285714283,14.0,C1C510
2008-02-18,15.582142857142859,0.5,20.657142857142855,12.87142857142857,C1C510
2008-02-19,14.147619047619045,2.5,17.52857142857143,12.728571428571428,C1C510
2008-02-20,14.704166666666667,0.5,17.2,12.842857142857143,C1C510
2008-02-21,17.3,0.0,21.74285714285714,13.842857142857143,C1C510
2008-02-22,16.84285714285714,0.0,20.02857142857143,14.428571428571429,C1C510
2008-02-23,15.93392857142857,7.0,19.8,13.128571428571428,C1C510
2008-02-24,14.35059523809524,0.5,16.45714285714286,12.799999999999999,C1C510
2008-02-25,15.648809523809522,6.0,19.67142857142857,13.071428571428571,C1C510
2008-02-26,11.934523809523808,6.5,14.757142857142858,8.785714285714286,C1C510
2008-02-27,9.460119047619047,0.0,10.671428571428573,8.557142857142857,C1C510
2008-02-28,11.753545548654243,0.0,14.942857142857141,9.314285714285715,C1C510
2008-02-29,12.165476190476188,0.0,13.785714285714286,10.542857142857143,C1C510
2008-03-01,15.501785714285715,0.5,20.5,11.114285714285714,C1C510
2008-03-02,16.496402691511385,0.0,20.371428571428574,13.328571428571427,C1C510
2008-03-03,15.911904761904763,0.0,20.942857142857147,11.557142857142859,C1C510
2008-03-04,14.520833333333334,0.0,18.985714285714284,11.471428571428573,C1C510
2008-03-05,14.77440476190476,0.0,19.842857142857138,11.042857142857144,C1C510
2008-03-06,16.72440476190476,0.0,22.842857142857145,11.057142857142859,C1C510
2008-03-07,16.976785714285715,0.0,23.157142857142855,12.200000000000001,C1C510
2008-03-08,14.65401138716356,0.0,18.285714285714285,12.314285714285715,C1C510
2008-03-09,15.23940476190476,0.0,17.485714285714288,12.571428571428571,C1C510
2008-03-10,16.325957556935816,1.5,17.271428571428572,15.542857142857143,C1C510
